,AccountScore,BusinessType,Complexity,CustomerID,DateTime,DeviceRating,EquipmentPrice,MonthlyMaintenance,ProductCategory,ProductWeight,UsagePerDay,UsageType
0,68,LLC,1,98761259,4-2017,4,9474,2138,Power Tools,979,9,1
1,54,LLC,2,98761259,4-2017,2,1206,549,Hilti Services,304,11,2
2,66,LLC,3,98761259,4-2017,2,1668,4285,Contractor Services,120,22,1
3,69,LLC,2,98761259,4-2017,4,6493,4320,Fastners Firestop Strut,288,19,3
4,86,LLC,1,98761260,4-2017,3,8907,1645,Power Tools,607,9,2
5,80,LLC,3,98761260,4-2017,3,4406,868,Hilti Services,495,20,2
6,79,LLC,1,98761260,4-2017,5,6557,869,Contractor Services,597,8,1
7,73,LLC,1,98761260,4-2017,5,8773,4841,Fastners Firestop Strut,861,9,2
8,83,LLC,3,98761261,4-2017,1,4918,4380,Power Tools,932,14,3
9,22,LLC,3,98761261,4-2017,4,7682,3006,Hilti Services,159,3,1
10,71,LLC,3,98761261,4-2017,1,985,4500,Contractor Services,167,22,3
11,68,LLC,1,98761261,4-2017,1,1749,4050,Fastners Firestop Strut,758,4,1
12,83,LLC,2,98761262,4-2017,3,2562,3828,Power Tools,597,24,3
13,99,LLC,1,98761262,4-2017,1,794,1493,Hilti Services,303,10,2
14,90,LLC,1,98761262,4-2017,4,395,2490,Contractor Services,689,10,3
15,58,LLC,2,98761262,4-2017,1,6320,1757,Fastners Firestop Strut,557,2,1
16,57,LLC,1,98761263,4-2017,1,1139,4952,Power Tools,247,0,1
17,100,LLC,2,98761263,4-2017,1,3692,737,Hilti Services,52,15,3
18,37,LLC,2,98761263,4-2017,2,5287,3302,Contractor Services,256,19,3
19,49,LLC,3,98761263,4-2017,2,6373,4524,Fastners Firestop Strut,728,24,2
20,24,LLC,1,98761264,4-2017,5,7302,3163,Power Tools,270,8,2
21,66,LLC,2,98761264,4-2017,5,2732,1008,Hilti Services,356,14,1
22,40,LLC,3,98761264,4-2017,2,3972,2481,Contractor Services,302,0,3
23,60,LLC,3,98761264,4-2017,2,4774,4099,Fastners Firestop Strut,543,21,2
24,72,LLC,1,98761265,4-2017,3,1236,3137,Power Tools,229,10,2
25,54,LLC,3,98761265,4-2017,4,467,2693,Hilti Services,384,0,2
26,36,LLC,1,98761265,4-2017,5,5667,631,Contractor Services,606,5,1
27,66,LLC,3,98761265,4-2017,4,8873,2103,Fastners Firestop Strut,50,2,1
28,34,LLC,1,98761266,4-2017,2,3935,2160,Power Tools,70,12,1
29,39,LLC,1,98761266,4-2017,2,5186,4835,Hilti Services,415,3,3
30,20,LLC,1,98761266,4-2017,3,7139,3699,Contractor Services,900,6,3
31,65,LLC,3,98761266,4-2017,5,6097,1598,Fastners Firestop Strut,414,3,2
32,47,LLC,3,98761267,4-2017,1,3951,936,Power Tools,127,22,2
33,44,LLC,1,98761267,4-2017,2,5343,2848,Hilti Services,184,6,1
34,43,LLC,2,98761267,4-2017,3,5471,1724,Contractor Services,66,3,1
35,36,LLC,2,98761267,4-2017,2,391,3993,Fastners Firestop Strut,469,10,3
36,63,LLC,3,98761268,4-2017,2,5010,3334,Power Tools,713,8,1
37,100,LLC,1,98761268,4-2017,1,1038,2359,Hilti Services,569,16,3
38,44,LLC,3,98761268,4-2017,4,620,3439,Contractor Services,350,15,1
39,40,LLC,1,98761268,4-2017,3,3342,4793,Fastners Firestop Strut,104,14,1
40,96,LLC,2,98761269,4-2017,4,6496,2377,Power Tools,279,8,3
41,23,LLC,2,98761269,4-2017,4,4477,537,Hilti Services,561,23,2
42,69,LLC,2,98761269,4-2017,1,603,2682,Contractor Services,274,7,1
43,57,LLC,1,98761269,4-2017,2,8821,2471,Fastners Firestop Strut,131,18,3
44,87,LLC,2,98761270,4-2017,2,6762,3742,Power Tools,194,5,3
45,43,LLC,1,98761270,4-2017,4,8735,2346,Hilti Services,117,19,2
46,56,LLC,1,98761270,4-2017,3,9540,3313,Contractor Services,387,11,1
47,90,LLC,3,98761270,4-2017,5,5075,3632,Fastners Firestop Strut,46,16,1
48,61,LLC,2,98761271,4-2017,3,4741,1364,Power Tools,995,2,1
49,24,LLC,3,98761271,4-2017,4,4646,621,Hilti Services,896,16,1
50,78,LLC,1,98761271,4-2017,1,5631,1008,Contractor Services,622,13,1
51,67,LLC,1,98761271,4-2017,5,6989,2641,Fastners Firestop Strut,839,8,3
52,21,LLC,2,98761272,4-2017,3,3113,1200,Power Tools,552,16,2
53,84,LLC,2,98761272,4-2017,4,8855,4592,Hilti Services,744,0,2
54,50,LLC,2,98761272,4-2017,4,4775,2495,Contractor Services,252,10,1
55,96,LLC,2,98761272,4-2017,2,8631,1732,Fastners Firestop Strut,757,9,2
56,40,LLC,1,98761273,4-2017,5,9701,1485,Power Tools,969,7,1
57,62,LLC,1,98761273,4-2017,1,1647,2569,Hilti Services,975,1,2
58,74,LLC,1,98761273,4-2017,2,8485,3088,Contractor Services,629,21,3
59,61,LLC,1,98761273,4-2017,2,5537,3946,Fastners Firestop Strut,646,20,1
60,28,LLC,3,98761274,4-2017,1,1727,4607,Power Tools,406,1,3
61,34,LLC,3,98761274,4-2017,1,1201,1767,Hilti Services,564,14,2
62,41,LLC,2,98761274,4-2017,5,8490,1945,Contractor Services,453,21,1
63,97,LLC,1,98761274,4-2017,2,1629,2986,Fastners Firestop Strut,667,18,2
64,40,LLC,2,98761275,4-2017,3,8271,4243,Power Tools,828,17,1
65,63,LLC,3,98761275,4-2017,5,4732,3807,Hilti Services,507,22,3
66,74,LLC,3,98761275,4-2017,2,7681,4281,Contractor Services,234,0,1
67,54,LLC,1,98761275,4-2017,2,2350,2507,Fastners Firestop Strut,352,24,3
68,88,LLC,2,98761276,4-2017,5,7315,696,Power Tools,549,21,1
69,90,LLC,3,98761276,4-2017,3,8743,4466,Hilti Services,590,18,1
70,83,LLC,1,98761276,4-2017,1,662,776,Contractor Services,323,12,3
