,BookToMarket,BusinessPosition,BusinessType,Businessvolume,CustomerID,DateTime,EquipmentPrice,HoursUsage,Marketcap,MonthlyMaintenance,Noofdevices,NumberOfEmployees,ProductWeight,Profit,TotalRevenue,category,Rank
0,0.77,Stable,1,2,98761259,Apr-17,8198,10,2,2927,38,75,247,0.51,2,Power Tools,3
1,0.71,Stable,1,2,98761259,Apr-17,2757,3,9,3715,15,75,512,0.58,5,Hilti Services,3
2,0.92,Stable,1,2,98761259,Apr-17,2254,12,2,2498,68,75,903,0.76,10,Contractor Services,3
3,2.18,Stable,1,1,98761259,Apr-17,5866,6,9,2701,16,75,376,0.34,8,Fastners Firestop Strut,2
4,1.66,Growth,1,2,98761260,Apr-17,3242,11,2,4769,55,33000,132,0.6,9,Power Tools,1
5,1.26,Growth,1,1,98761260,Apr-17,1812,12,5,1870,34,33000,261,0.68,1,Hilti Services,2
6,1.22,Growth,1,3,98761260,Apr-17,7206,13,5,4993,35,33000,738,0.64,6,Contractor Services,3
7,1.34,Growth,1,2,98761260,Apr-17,7368,2,6,1725,16,33000,646,0.68,8,Fastners Firestop Strut,2
8,0.85,Decline,1,3,98761261,Apr-17,4596,12,9,2474,42,90,210,0.45,3,Power Tools,3
9,1.12,Decline,1,1,98761261,Apr-17,2085,10,5,2627,61,90,351,0.22,5,Hilti Services,2
10,1.62,Decline,1,2,98761261,Apr-17,8091,12,5,655,11,90,426,0.27,2,Contractor Services,3
11,0.34,Decline,1,1,98761261,Apr-17,8118,8,10,537,12,90,211,0.93,2,Fastners Firestop Strut,1
12,2.21,Growth,1,1,98761262,Apr-17,3356,8,3,4580,50,3000,751,0.49,2,Power Tools,2
13,0.79,Growth,1,2,98761262,Apr-17,1323,11,10,1981,22,3000,524,0.62,6,Hilti Services,3
14,2.34,Growth,1,1,98761262,Apr-17,8244,5,3,1580,53,3000,376,0.42,5,Contractor Services,1
15,0.84,Growth,1,3,98761262,Apr-17,3483,16,7,3282,50,3000,808,0.62,5,Fastners Firestop Strut,1
16,2.82,Growth,1,1,98761263,Apr-17,2550,1,7,4452,70,750,421,0.39,10,Power Tools,2
17,1.21,Growth,1,3,98761263,Apr-17,1126,13,10,3570,45,750,227,0.12,2,Hilti Services,1
18,0.78,Growth,1,3,98761263,Apr-17,6920,3,7,1787,59,750,626,0.87,3,Contractor Services,2
19,2.25,Growth,1,1,98761263,Apr-17,8900,4,7,2992,42,750,676,0.67,1,Fastners Firestop Strut,2
20,1.68,Growth,1,2,98761264,Apr-17,9357,8,3,777,49,125,230,0.98,6,Power Tools,1
21,1.81,Growth,1,1,98761264,Apr-17,2709,11,5,3216,42,125,181,0.37,4,Hilti Services,1
22,2.77,Growth,1,1,98761264,Apr-17,6169,15,9,4202,13,125,335,0.62,4,Contractor Services,3
23,0.67,Growth,1,2,98761264,Apr-17,9973,3,1,4302,11,125,545,0.31,2,Fastners Firestop Strut,1
24,2.15,Growth,1,1,98761265,Apr-17,2094,6,9,3830,60,125,100,0.51,5,Power Tools,1
25,2.97,Growth,1,1,98761265,Apr-17,8169,16,8,740,52,125,336,0.75,4,Hilti Services,3
26,0.39,Growth,1,3,98761265,Apr-17,3513,10,9,1055,14,125,709,0.67,5,Contractor Services,2
27,1.04,Growth,1,2,98761265,Apr-17,2726,6,4,4150,38,125,592,0.55,7,Fastners Firestop Strut,1
28,1.01,Stable,1,1,98761266,Apr-17,1299,13,8,2035,65,400,866,0.24,6,Power Tools,3
29,2.46,Stable,1,3,98761266,Apr-17,9918,10,9,4704,48,400,374,0.44,6,Hilti Services,2
30,1.79,Stable,1,3,98761266,Apr-17,6980,16,8,3073,45,400,931,0.45,7,Contractor Services,1
31,0.69,Stable,1,3,98761266,Apr-17,7443,3,7,4656,60,400,758,0.6,1,Fastners Firestop Strut,3
32,0.61,Growth,1,2,98761267,Apr-17,947,10,9,4210,48,400,124,0.96,6,Power Tools,3
33,2.75,Growth,1,2,98761267,Apr-17,4800,11,3,4256,44,400,838,0.44,6,Hilti Services,2
34,2.2,Growth,1,3,98761267,Apr-17,2173,8,2,540,38,400,262,0.26,8,Contractor Services,1
35,0.94,Growth,1,1,98761267,Apr-17,8068,9,9,1059,20,400,521,0.26,9,Fastners Firestop Strut,2
36,0.61,Growth,1,2,98761268,Apr-17,3669,1,6,3927,57,3500,442,0.47,10,Power Tools,1
37,2.67,Growth,1,3,98761268,Apr-17,9118,13,5,3694,17,3500,790,0.68,2,Hilti Services,3
38,1.71,Growth,1,2,98761268,Apr-17,3738,7,8,4341,28,3500,411,0.37,4,Contractor Services,3
39,2.5,Growth,1,2,98761268,Apr-17,544,1,3,2900,27,3500,531,0.31,1,Fastners Firestop Strut,1
40,0.81,Growth,1,2,98761269,Apr-17,248,9,9,4250,10,150,935,0.86,7,Power Tools,2
41,1.86,Growth,1,3,98761269,Apr-17,1752,10,5,4910,58,150,929,0.21,10,Hilti Services,3
42,1.85,Growth,1,1,98761269,Apr-17,6963,2,5,1739,31,150,525,0.39,4,Contractor Services,3
43,2.23,Growth,1,1,98761269,Apr-17,9468,7,5,4248,26,150,952,0.96,5,Fastners Firestop Strut,1
44,0.82,Growth,1,1,98761270,Apr-17,9817,12,10,4865,62,375,129,0.76,6,Power Tools,2
45,0.63,Growth,1,3,98761270,Apr-17,2155,3,2,4402,28,375,121,0.85,9,Hilti Services,2
46,1.59,Growth,1,3,98761270,Apr-17,5166,7,5,4390,50,375,221,0.36,5,Contractor Services,1
47,2.05,Growth,1,3,98761270,Apr-17,2099,11,7,2785,39,375,552,0.98,9,Fastners Firestop Strut,3
48,2.46,Growth,1,3,98761271,Apr-17,8245,15,4,722,23,125,897,0.58,6,Power Tools,1
49,2.84,Growth,1,3,98761271,Apr-17,6891,7,9,1798,64,125,378,0.95,5,Hilti Services,3
